name,cik,start_date,business_city,business_stateOrCountry,business_stateOrCountryDescription,business_street1,business_street2,business_zipCode,category,description,ein,entityType,exchanges,fiscalYearEnd,flags,insiderTransactionForIssuerExists,insiderTransactionForOwnerExists,mailing_city,mailing_stateOrCountry,mailing_stateOrCountryDescription,mailing_street1,mailing_street2,mailing_zipCode,ownerOrg,phone,sic,sicDescription,stateOfIncorporation,stateOfIncorporationDescription,tickers
Eaton Vance Municipal Income 2028 Term Trust,0001563696,2012-12-07,BOSTON,MA,MA,ONE POST OFFICE SQUARE,,02109,,,000000000,other,['NYSE'],0131,,1,0,BOSTON,MA,MA,ONE POST OFFICE SQUARE,,02109,,800-225-6265,,,MA,MA,['ETX']
"Trevi Therapeutics, Inc.",0001563880,2012-12-18,NEW HAVEN,CT,CT,195 CHURCH STREET,14TH FLOOR,06510,Non-accelerated filer<br>Smaller reporting company,,450834299,operating,['Nasdaq'],1231,,1,0,NEW HAVEN,CT,CT,195 CHURCH STREET,14TH FLOOR,06510,03 Life Sciences,203-304-2499,2834,Pharmaceutical Preparations,DE,DE,['TRVI']
KNOT Offshore Partners LP,0001564180,2012-12-21,ABERDEEN,X0,United Kingdom,2 QUEEN'S CROSS,,AB15 4YB,Accelerated filer,,000000000,other,['NYSE'],1231,,0,0,ABERDEEN,X0,United Kingdom,2 QUEEN'S CROSS,,AB15 4YB,01 Energy & Transportation,44 1224 618420,4400,Water Transportation,1T,Marshall Islands,['KNOP']
Snap Inc,0001564408,2013-02-12,SANTA MONICA,CA,CA,3000 31ST STREET,,90405,Large accelerated filer,,455452795,operating,['NYSE'],1231,,1,0,SANTA MONICA,CA,CA,3000 31ST STREET,,90405,06 Technology,(310) 399-3339,7370,"Services-Computer Programming, Data Processing, Etc.",DE,DE,['SNAP']
GRANITE REAL ESTATE INVESTMENT TRUST,0001564538,2012-12-21,TORONTO,A6,"Ontario, Canada","77 KING ST. WEST, SUITE 4010","P.O. BOX 159, TD CENTRE",M5K 1H1,Large accelerated filer,,986068269,other,['NYSE'],1231,,0,0,TORONTO,A6,"Ontario, Canada","77 KING ST. WEST, SUITE 4010","P.O. BOX 159, TD CENTRE",M5K 1H1,05 Real Estate & Construction,647-925-7522,6798,Real Estate Investment Trusts,A6,"Ontario, Canada",['GRP-UN']
United Parks & Resorts Inc.,0001564902,2012-12-27,ORLANDO,FL,FL,6240 SEA HARBOR DRIVE,,32821,Large accelerated filer,,271220297,operating,['NYSE'],1231,,1,0,ORLANDO,FL,FL,6240 SEA HARBOR DRIVE,,32821,07 Trade & Services,(407) 226-5011,7990,Services-Miscellaneous Amusement & Recreation,DE,DE,['PRKS']
NEWS CORP,0001564708,2012-12-21,NEW YORK,NY,NY,1211 AVENUE OF THE AMERICAS,,10036,Large accelerated filer,,000000000,operating,"['Nasdaq', 'Nasdaq']",0630,,1,1,NEW YORK,NY,NY,1211 AVENUE OF THE AMERICAS,,10036,04 Manufacturing,212-416-3400,2711,Newspapers: Publishing or  Publishing & Printing,DE,DE,"['NWSA', 'NWS']"
AMBEV S.A.,0001565025,2012-12-20,SAO PAULO,D5,Brazil,"RUA DR. RENATO PAES DE BARROS, 1017",3 ANDAR PARTE,04530-000,Large accelerated filer,,000000000,other,['NYSE'],1231,,0,0,SAO PAULO,D5,Brazil,"RUA DR. RENATO PAES DE BARROS, 1017",3 ANDAR PARTE,04530-000,04 Manufacturing,55(11)2122-1414,2080,Beverages,D5,Brazil,['ABEV']
Allakos Inc.,0001564824,2012-12-20,SAN CARLOS,CA,CA,825 INDUSTRIAL ROAD,SUITE 500,94070,Non-accelerated filer<br>Smaller reporting company,,454798831,operating,['Nasdaq'],1231,,1,0,SAN CARLOS,CA,CA,825 INDUSTRIAL ROAD,SUITE 500,94070,03 Life Sciences,650-597-5002,2834,Pharmaceutical Preparations,DE,DE,['ALLK']
Gulf Coast Ultra Deep Royalty Trust,0001565146,2012-12-28,HOUSTON,TX,TX,601 TRAVIS STREET,16TH FLOOR,77002,,,000000000,operating,['OTC'],,,1,0,HOUSTON,TX,TX,601 TRAVIS STREET,16TH FLOOR,77002,01 Energy & Transportation,512-236-6599,1311,Crude Petroleum & Natural Gas,,,['GULTU']
"BNY Mellon Municipal Bond Infrastructure Fund, Inc.",0001565381,2012-12-28,NEW YORK,NY,NY,"C/O BNY MELLON INVESTMENT ADVISER, INC.",240 GREENWICH STREET,10289,,,000000000,other,['NYSE'],0228,,1,0,NEW YORK,NY,NY,"C/O BNY MELLON INVESTMENT ADVISER, INC.",240 GREENWICH STREET,10289,,212-922-6400,,,MD,MD,['DMB']
"Vislink Technologies, Inc.",0001565228,2012-12-26,MT. OLIVE,NJ,NJ,350 CLARK DRIVE,SUITE 125,07828,Non-accelerated filer<br>Smaller reporting company,,205856795,operating,['OTC'],1231,,1,0,MT. OLIVE,NJ,NJ,350 CLARK DRIVE,SUITE 125,07828,04 Manufacturing,941 953 9035,3669,"Communications Equipment, NEC",DE,DE,['VISL']
"Intapp, Inc.",0001565687,2013-01-03,PALO ALTO,CA,CA,3101 PARK BOULEVARD,,94306,Large accelerated filer,,461467620,operating,['Nasdaq'],0630,,1,0,PALO ALTO,CA,CA,3101 PARK BOULEVARD,,94306,06 Technology,650-852-0400,7372,Services-Prepackaged Software,DE,DE,['INTA']
VYNE Therapeutics Inc.,0001566044,2013-01-07,BRIDGEWATER,NJ,NJ,"685 ROUTE 202/206 N., SUITE 301",,08807,Non-accelerated filer<br>Smaller reporting company,,453757789,operating,['Nasdaq'],1231,,1,0,BRIDGEWATER,NJ,NJ,"685 ROUTE 202/206 N., SUITE 301",,08807,03 Life Sciences,800-775-7936,2834,Pharmaceutical Preparations,DE,DE,['VYNE']
DoubleLine Income Solutions Fund,0001566388,2013-01-15,TAMPA,FL,FL,C/O DOUBLELINE CAPITAL LP,"2002 N. TAMPA ST., SUITE 200",33602,,,000000000,other,['NYSE'],,,1,0,TAMPA,FL,FL,C/O DOUBLELINE CAPITAL LP,"2002 N. TAMPA ST., SUITE 200",33602,,(813) 791-7333,,,MA,MA,['DSL']
"Verb Technology Company, Inc.",0001566610,2013-01-10,LAS VEGAS,NV,NV,3024 SIERRA JUNIPER COURT,,89138,Non-accelerated filer<br>Smaller reporting company,,461669753,operating,['Nasdaq'],1231,,1,0,LAS VEGAS,NV,NV,3024 SIERRA JUNIPER COURT,,89138,07 Trade & Services,855-250-2300,7200,Services-Personal Services,NV,NV,['VERB']
"LogicMark, Inc.",0001566826,2013-01-28,LOUISVILLE,KY,KY,2801 DIODE LANE,,40299,Non-accelerated filer<br>Smaller reporting company,,460678374,operating,['Nasdaq'],1231,,1,0,LOUISVILLE,KY,KY,2801 DIODE LANE,,40299,08 Industrial Applications and Services,(502) 442-7911,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",NV,NV,['LGMK']
CNH Industrial N.V.,0001567094,2013-01-18,"BASILDON, ESSEX",X0,United Kingdom,CRANES FARM ROAD,,SS14 3AD,Large accelerated filer,,000000000,operating,['NYSE'],1231,,1,0,"BASILDON, ESSEX",X0,United Kingdom,CRANES FARM ROAD,,SS14 3AD,06 Technology,011 44 1268 533000,3531,Construction Machinery & Equip,P7,Netherlands,['CNH']
IHI Corporation/ADR,0001567526,2013-01-23,NEW YORK,NY,NY,120 BROADWAY,32ND FLOOR,10271,,,000000000,other,"['OTC', 'OTC']",,,0,0,NEW YORK,NY,NY,120 BROADWAY,32ND FLOOR,10271,,212-238-3128,,,,,"['IHICY', 'IHICF']"
"JG Summit Holdings, Inc./ADR",0001567172,2013-01-22,NEW YORK,NY,NY,120 BROADWAY,32ND FLOOR,10271,,,000000000,other,"['OTC', 'OTC']",,,0,0,NEW YORK,NY,NY,120 BROADWAY,32ND FLOOR,10271,International Corp Fin,212-238-3128,8880,American Depositary Receipts,,,"['JGSMY', 'JGSHF']"
"INTENSITY THERAPEUTICS, INC.",0001567264,2013-01-18,SHELTON,CT,CT,"1 ENTERPRISE DRIVE, SUITE 430",,06484,<br>Emerging growth company,,461488089,operating,['Nasdaq'],1231,,1,0,SHELTON,CT,CT,"1 ENTERPRISE DRIVE, SUITE 430",,06484,03 Life Sciences,203-221-7381,2836,"Biological Products, (No Diagnostic Substances)",DE,DE,['INTS']
"Intra-Cellular Therapies, Inc.",0001567514,2013-02-08,BEDMINSTER,NJ,NJ,135 ROUTE 202/206,SUITE 6,07921,Large accelerated filer,,364742850,operating,['Nasdaq'],1231,,1,0,BEDMINSTER,NJ,NJ,135 ROUTE 202/206,SUITE 6,07921,03 Life Sciences,(646) 440-9333,2834,Pharmaceutical Preparations,DE,DE,['ITCI']
KAMADA LTD,0001567529,2013-01-24,REHOVOT,L3,Israel,"2 HOLTZMAN ST., SCIENCE PARK",,7670402,Accelerated filer,,000000000,other,['Nasdaq'],1231,,0,0,REHOVOT,L3,Israel,"2 HOLTZMAN ST., SCIENCE PARK",,7670402,03 Life Sciences,97289406472,2834,Pharmaceutical Preparations,L3,Israel,['KMDA']
BLACKBOXSTOCKS INC.,0001567900,2013-11-27,DALLAS,TX,TX,5430 LBJ FREEWAY,SUITE 1485,75240,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,,453598066,operating,['Nasdaq'],1231,,1,0,DALLAS,TX,TX,5430 LBJ FREEWAY,SUITE 1485,75240,01 Energy & Transportation,972-726-9203,1000,Metal Mining,NV,NV,['BLBX']
First Trust Intermediate Duration Preferred & Income Fund,0001567569,2013-02-01,WHEATON,IL,IL,"120 EAST LIBERTY DRIVE, SUITE 400",,60187,,,320405071,other,['NYSE'],1031,,1,0,WHEATON,IL,IL,"120 EAST LIBERTY DRIVE, SUITE 400",,60187,,630-765-8000,,,,,['FPF']
"Mitsui E&S Holdings Co., Ltd./ADR",0001567924,2013-01-25,NEW YORK,NY,NY,120 BROADWAY,32ND FLOOR,10271,,,000000000,other,"['OTC', 'OTC']",,,0,0,NEW YORK,NY,NY,120 BROADWAY,32ND FLOOR,10271,,212-238-3128,,,,,"['MIESY', 'MIESF']"
"Sila Realty Trust, Inc.",0001567925,2013-09-04,TAMPA,FL,FL,1001 WATER STREET,SUITE 800,33602,Large accelerated filer,,461854011,operating,['NYSE'],1231,,1,0,TAMPA,FL,FL,1001 WATER STREET,SUITE 800,33602,05 Real Estate & Construction,813-287-0101,6798,Real Estate Investment Trusts,MD,MD,['SILA']
"Clearway Energy, Inc.",0001567683,2013-02-13,PRINCETON,NJ,NJ,"300 CARNEGIE CENTER, SUITE 300",,08540,Large accelerated filer,,461777204,operating,"['NYSE', 'NYSE']",1231,,1,0,PRINCETON,NJ,NJ,"300 CARNEGIE CENTER, SUITE 300",,08540,01 Energy & Transportation,609-608-1525,4911,Electric Services,DE,DE,"['CWEN', 'CWEN-A']"
"Bright Mountain Media, Inc.",0001568385,2013-01-31,BOCA RATON,FL,FL,6400 CONGRESS AVE.,SUITE 2050,33487,Non-accelerated filer<br>Smaller reporting company,,272977890,operating,['OTC'],1231,,1,0,BOCA RATON,FL,FL,6400 CONGRESS AVE.,SUITE 2050,33487,06 Technology,561-998-2440,7371,Services-Computer Programming Services,FL,FL,['BMTM']
"PagerDuty, Inc.",0001568100,2013-01-31,SAN FRANCISCO,CA,CA,600 TOWNSEND STREET #200,,94103,Large accelerated filer,,272793871,operating,['NYSE'],0131,,1,0,SAN FRANCISCO,CA,CA,600 TOWNSEND STREET #200,,94103,06 Technology,(844) 800-3889,7372,Services-Prepackaged Software,DE,DE,['PD']
FS Credit Opportunities Corp.,0001568194,2013-02-08,PHILADELPHIA,PA,PA,201 ROUSE BOULEVARD,,19112,,,461882356,other,['NYSE'],1231,,1,1,PHILADELPHIA,PA,PA,201 ROUSE BOULEVARD,,19112,,215-495-1150,,,MD,MD,['FSCO']
Bioquest Corp,0001568628,2013-02-05,NEWPORT BEACH,CA,CA,4570 CAMPUS DRIVE #23,NEWPORT BEACH,92660,Non-accelerated filer<br>Smaller reporting company,,990378854,operating,['OTC'],0430,,0,0,NEWPORT BEACH,CA,CA,4570 CAMPUS DRIVE #23,NEWPORT BEACH,92660,03 Life Sciences,418-264-7134,2834,Pharmaceutical Preparations,NV,NV,['BQST']
"Oscar Health, Inc.",0001568651,2013-09-11,NEW YORK,NY,NY,75 VARICK STREET,5TH FLOOR,10013,Large accelerated filer,,000000000,operating,['NYSE'],1231,,1,0,NEW YORK,NY,NY,75 VARICK STREET,5TH FLOOR,10013,02 Finance,(646) 403-3677,6324,Hospital & Medical Service Plans,DE,DE,['OSCR']
"APPYEA, INC",0001568969,2013-02-15,GAN YAVNE,L3,Israel,16 NATAN ALTERMAN ST,,7085118,Non-accelerated filer<br>Smaller reporting company,,461496846,operating,['OTC'],1231,,1,0,NEW YORK,NY,NY,447 BROADWAY,,10013,06 Technology,(800) 674-3561,7371,Services-Computer Programming Services,SD,SD,['APYP']
"Sprinklr, Inc.",0001569345,2013-02-20,NEW YORK,NY,NY,441 9TH AVE,12TH FLOOR,10001,Large accelerated filer,,454771485,operating,['NYSE'],0131,,1,0,NEW YORK,NY,NY,441 9TH AVE,12TH FLOOR,10001,06 Technology,(917) 933-7800,7372,Services-Prepackaged Software,DE,DE,['CXM']
"Armada Hoffler Properties, Inc.",0001569187,2013-02-12,VIRGINIA BEACH,VA,VA,222 CENTRAL PARK AVENUE,SUITE 2100,23462,Large accelerated filer,,461214914,operating,"['NYSE', 'NYSE']",1231,,1,0,VIRGINIA BEACH,VA,VA,222 CENTRAL PARK AVENUE,SUITE 2100,23462,05 Real Estate & Construction,757-366-4000,6500,Real Estate,MD,MD,"['AHH', 'AHH-PA']"
"Cell Source, Inc.",0001569340,2013-03-05,NEW YORK,NY,NY,57 WEST 57TH STREET,SUITE 400,10019,Non-accelerated filer<br>Smaller reporting company,,320379665,operating,['OTC'],1231,,1,0,NEW YORK,NY,NY,57 WEST 57TH STREET,SUITE 400,10019,03 Life Sciences,646-612-7554,2834,Pharmaceutical Preparations,NV,NV,['CLCS']
Bank OZK,0001569650,2013-02-14,LITTLE ROCK,AR,AR,18000 CANTRELL ROAD,,72223,,,710130170,other,"['Nasdaq', 'Nasdaq']",1231,,0,0,LITTLE ROCK,AR,AR,18000 CANTRELL ROAD,,72223,,501-978-2218,,,AR,AR,"['OZK', 'OZKAP']"
"Waterstone Financial, Inc.",0001569994,2013-06-07,WAUWATOSA,WI,WI,11200 WEST PLANK COURT,,53226,Accelerated filer,,000000000,operating,['Nasdaq'],1231,,1,0,WAUWATOSA,WI,WI,11200 WEST PLANK COURT,,53226,02 Finance,(414) 761-1000,6035,"Savings Institution, Federally Chartered",MD,MD,['WSBF']
"ANVI GLOBAL HOLDINGS, INC.",0001570132,2013-05-16,CARY,NC,NC,1135 KILDAIRE FARM ROAD,SUITE 319-4,27511,Non-accelerated filer<br>Smaller reporting company,,331226144,operating,['OTC'],0228,,0,0,CARY,NC,NC,1135 KILDAIRE FARM ROAD,SUITE 319-4,27511,07 Trade & Services,408 821 4491,5400,Retail-Food Stores,NV,NV,['ANVI']
"Evolus, Inc.",0001570562,2013-02-27,NEWPORT BEACH,CA,CA,520 NEWPORT CENTER DRIVE,SUITE 1200,92660,Accelerated filer,,461385614,operating,['Nasdaq'],1231,,1,0,NEWPORT BEACH,CA,CA,520 NEWPORT CENTER DRIVE,SUITE 1200,92660,03 Life Sciences,(949) 284-4555,2834,Pharmaceutical Preparations,DE,DE,['EOLS']
"Victory Capital Holdings, Inc.",0001570827,2013-03-06,BROOKLYN,OH,OH,4900 TIEDEMANN ROAD,4TH FLOOR,44144,Large accelerated filer,,000000000,operating,['Nasdaq'],1231,,1,0,BROOKLYN,OH,OH,4900 TIEDEMANN ROAD,4TH FLOOR,44144,02 Finance,216-898-2400,6282,Investment Advice,DE,DE,['VCTR']
ALTAIR INTERNATIONAL CORP.,0001570937,2013-07-29,CARLSBAD,CA,CA,2006 PALOMAR AIRPORT ROAD,SUITE 210,92011,Non-accelerated filer<br>Smaller reporting company,,990385465,operating,['OTC'],1231,,1,0,CARLSBAD,CA,CA,2006 PALOMAR AIRPORT ROAD,SUITE 210,92011,08 Industrial Applications and Services,858-239-0788,3841,Surgical & Medical Instruments & Apparatus,NV,NV,['ATAO']
Liberty Global Ltd.,0001570585,2013-03-07,HAMILTON,D0,Bermuda,"CLARENDON HOUSE,",2 CHURCH STREET,HM 11,Large accelerated filer,,981750381,operating,"['Nasdaq', 'Nasdaq', 'Nasdaq']",1231,,1,1,DENVER,CO,CO,"1550 WEWATTA ST,",SUITE 1000,80202,06 Technology,303-220-6600,4841,Cable & Other Pay Television Services,,,"['LBTYA', 'LBTYB', 'LBTYK']"
Greenbriar Sustainable Living Inc.,0001570843,2013-03-01,COQUITLAM,A1,"British Columbia, Canada",632 FOSTER AVENUE,,V3J 2L7,Non-accelerated filer<br>Emerging growth company,,000000000,other,['OTC'],1231,,0,0,COQUITLAM,A1,"British Columbia, Canada",632 FOSTER AVENUE,,V3J 2L7,05 Real Estate & Construction,949-903-5906,6500,Real Estate,A1,"British Columbia, Canada",['GEBRF']
Science Applications International Corp,0001571123,2013-03-07,RESTON,VA,VA,12010 SUNSET HILLS ROAD,,20190,Large accelerated filer,,461932921,operating,['Nasdaq'],0131,,1,0,RESTON,VA,VA,12010 SUNSET HILLS ROAD,,20190,06 Technology,703-676-4300,7373,Services-Computer Integrated Systems Design,DE,DE,['SAIC']
"Rexford Industrial Realty, Inc.",0001571283,2013-03-07,LOS ANGELES,CA,CA,"11620 WILSHIRE BOULEVARD, SUITE 1000",,90025,Large accelerated filer,,462024407,operating,"['NYSE', 'NYSE', 'NYSE']",1231,,1,0,LOS ANGELES,CA,CA,"11620 WILSHIRE BOULEVARD, SUITE 1000",,90025,05 Real Estate & Construction,310-966-1680,6798,Real Estate Investment Trusts,MD,MD,"['REXR', 'REXR-PB', 'REXR-PC']"
Logan Ridge Finance Corp.,0001571329,2013-04-10,NEW YORK,NY,NY,650 MADISON AVENUE,3RD FLOOR,10022,Non-accelerated filer,,900945675,operating,['Nasdaq'],1231,,1,0,NEW YORK,NY,NY,650 MADISON AVENUE,3RD FLOOR,10022,,212-891-2880,,,,,['LRFC']
"Synaptogenix, Inc.",0001571934,2013-03-13,NEW YORK,NY,NY,"1185 AVENUE OF THE AMERICAS, 3RD FLOOR",,10036,Non-accelerated filer<br>Smaller reporting company<br>Emerging growth company,,461585656,operating,['Nasdaq'],1231,,1,0,NEW YORK,NY,NY,"1185 AVENUE OF THE AMERICAS, 3RD FLOOR",,10036,03 Life Sciences,9732420005,2834,Pharmaceutical Preparations,DE,DE,['SNPX']
"Intercontinental Exchange, Inc.",0001571949,2013-03-20,ATLANTA,GA,GA,"5660 NEW NORTHSIDE DRIVE,",THIRD FLOOR,30328,Large accelerated filer,,000000000,operating,['NYSE'],1231,,1,1,ATLANTA,GA,GA,"5660 NEW NORTHSIDE DRIVE,",THIRD FLOOR,30328,09 Crypto Assets,770-857-4700,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",DE,DE,['ICE']
Dell Technologies Inc.,0001571996,2013-07-24,ROUND ROCK,TX,TX,ONE DELL WAY,,78682,Large accelerated filer,,800890963,operating,['NYSE'],0131,,1,1,ROUND ROCK,TX,TX,ONE DELL WAY,,78682,06 Technology,800-289-3355,3571,Electronic Computers,DE,DE,['DELL']
Cherry Hill Mortgage Investment Corp,0001571776,2013-03-13,TINTON FALLS,NJ,NJ,4000 ROUTE 66,SUITE 310,07753,Accelerated filer<br>Smaller reporting company,,461315605,operating,"['NYSE', 'NYSE', 'NYSE']",1231,,1,0,TINTON FALLS,NJ,NJ,4000 ROUTE 66,SUITE 310,07753,05 Real Estate & Construction,(856) 626-2663,6798,Real Estate Investment Trusts,MD,MD,"['CHMI', 'CHMI-PB', 'CHMI-PA']"
"FRACTYL HEALTH, INC.",0001572616,2013-03-21,BURLINGTON,MA,MA,3 VAN DE GRAAFF DRIVE,SUITE 200,01803,<br>Emerging growth company,,273553477,operating,['Nasdaq'],1231,,1,0,BURLINGTON,MA,MA,3 VAN DE GRAAFF DRIVE,SUITE 200,01803,08 Industrial Applications and Services,781-902-8800,3841,Surgical & Medical Instruments & Apparatus,DE,DE,['GUTS']
"Goldman Sachs BDC, Inc.",0001572694,2013-03-29,NEW YORK,NY,NY,200 WEST STREET,ATT: PRIVATE CREDIT GROUP,10282,Large accelerated filer,,462176593,operating,['NYSE'],1231,,1,1,NEW YORK,NY,NY,200 WEST STREET,ATT: PRIVATE CREDIT GROUP,10282,,1-212-902-0328,,,DE,DE,['GSBD']
GREENWAY TECHNOLOGIES INC,0001572386,2013-08-29,ARLINGTON,TX,TX,1521 NORTH COOPER STREET,SUITE 205,76011,Non-accelerated filer<br>Smaller reporting company,,900893594,operating,['OTC'],1231,,1,0,ARLINGTON,TX,TX,1521 NORTH COOPER STREET,SUITE 205,76011,04 Manufacturing,(561) 809-4644,2090,Miscellaneous Food Preparations & Kindred Products,TX,TX,['GWTI']
Virginia National Bankshares Corp,0001572334,2013-03-26,CHARLOTTESVILLE,VA,VA,404 PEOPLE PLACE,,22911,Non-accelerated filer<br>Smaller reporting company,,000000000,operating,['Nasdaq'],1231,,1,0,CHARLOTTESVILLE,VA,VA,404 PEOPLE PLACE,,22911,02 Finance,434-817-7676,6021,National Commercial Banks,VA,VA,['VABK']
"TheRealReal, Inc.",0001573221,2013-04-17,SAN FRANCISCO,CA,CA,55 FRANCISCO STREET,SUITE 400,94133,Accelerated filer<br>Smaller reporting company,,451234222,operating,['Nasdaq'],1231,,1,0,SAN FRANCISCO,CA,CA,55 FRANCISCO STREET,SUITE 400,94133,07 Trade & Services,800-215-0566,5900,Retail-Miscellaneous Retail,DE,DE,['REAL']
Murphy USA Inc.,0001573516,2013-05-06,EL DORADO,AR,AR,200 PEACH STREET,,71730-5836,Large accelerated filer,,462279221,operating,['NYSE'],1231,,1,0,EL DORADO,AR,AR,200 PEACH STREET,,71730-5836,07 Trade & Services,(870) 875-7600,5500,Retail-Auto Dealers & Gasoline Stations,DE,DE,['MUSA']
Braemar Hotels & Resorts Inc.,0001574085,2013-06-17,DALLAS,TX,TX,14185 DALLAS PARKWAY,SUITE 1100,75254,Accelerated filer,,462488594,operating,"['NYSE', 'NYSE', 'NYSE']",1231,,1,0,DALLAS,TX,TX,14185 DALLAS PARKWAY,SUITE 1100,75254,05 Real Estate & Construction,(972) 490-9600,6798,Real Estate Investment Trusts,MD,MD,"['BHR', 'BHR-PD', 'BHR-PB']"
"RenovoRx, Inc.",0001574094,2013-04-10,MOUNTAIN VIEW,CA,CA,"2570 W. EL CAMINO REAL, STE. 320,",,94040,<br>Emerging growth company,,271448452,operating,['Nasdaq'],1231,,1,0,MOUNTAIN VIEW,CA,CA,"2570 W. EL CAMINO REAL, STE. 320,",,94040,03 Life Sciences,408-800-2649,2834,Pharmaceutical Preparations,DE,DE,['RNXT']
"Five Point Holdings, LLC",0001574197,2013-04-12,IRVINE,CA,CA,"2000 FIVEPOINT, 4TH FLOOR",,92618,Accelerated filer<br>Smaller reporting company,,270599397,operating,['NYSE'],1231,,1,0,IRVINE,CA,CA,"2000 FIVEPOINT, 4TH FLOOR",,92618,05 Real Estate & Construction,(949) 349-1000,6500,Real Estate,DE,DE,['FPH']
"Pulmatrix, Inc.",0001574235,2013-05-24,FRAMINGHAM,MA,MA,945 CONCORD STREET,SUITE 1217,01701,Non-accelerated filer<br>Smaller reporting company,,461821392,operating,['Nasdaq'],1231,,1,0,FRAMINGHAM,MA,MA,945 CONCORD STREET,SUITE 1217,01701,03 Life Sciences,(888) 355-4440,2834,Pharmaceutical Preparations,DE,DE,['PULM']
Addex Therapeutics Ltd.,0001574232,2019-09-24,GENEVA,V8,Switzerland,CHEMIN DES MINES 9,,CH-1202,Non-accelerated filer<br>Emerging growth company,,000000000,other,['Nasdaq'],1231,,0,0,GENEVA,V8,Switzerland,CHEMIN DES MINES 9,,CH-1202,03 Life Sciences,01141228841555,2834,Pharmaceutical Preparations,V8,Switzerland,['ADXN']
"Galenfeha, Inc.",0001574676,2013-04-18,TALLAHASSEE,FL,FL,4362 MAHAN DRIVE,,32308,Non-accelerated filer<br>Smaller reporting company,,462283393,operating,['OTC'],1231,,1,0,TALLAHASSEE,FL,FL,4362 MAHAN DRIVE,,32308,07 Trade & Services,954-494-7934,8711,Services-Engineering Services,NV,NV,['NGHI']
Evogene Ltd.,0001574565,2013-04-26,REHOVOT,L3,Israel,13 GAD FEINSTEIN STREET,PARK REHOVOT,7638517,Non-accelerated filer,,000000000,other,['Nasdaq'],1231,,0,0,REHOVOT,L3,Israel,13 GAD FEINSTEIN STREET,PARK REHOVOT,7638517,08 Industrial Applications and Services,97289311900,2870,Agricultural Chemicals,L3,Israel,['EVGN']
"BIOADAPTIVES, INC.",0001575142,2013-05-03,LAS VEGAS,NV,NV,2620 REGATTA DRIVE,SUITE 102,89128,Non-accelerated filer<br>Smaller reporting company,,462592228,operating,['OTC'],1231,,1,0,LAS VEGAS,NV,NV,2620 REGATTA DRIVE,SUITE 102,89128,03 Life Sciences,(702) 659-8829,2834,Pharmaceutical Preparations,DE,DE,['BDPT']
"Sprouts Farmers Market, Inc.",0001575515,2013-05-09,PHOENIX,AZ,AZ,5455 E. HIGH ST.,SUITE 111,85054,Large accelerated filer,,320331600,operating,['Nasdaq'],1228,,1,0,PHOENIX,AZ,AZ,5455 E. HIGH ST.,SUITE 111,85054,07 Trade & Services,480-814-8016,5411,Retail-Grocery Stores,DE,DE,['SFM']
Brookfield DTLA Fund Office Trust Investor Inc.,0001575311,2013-04-26,NEW YORK,NY,NY,C/O BROOKFIELD OFFICE PROPERTIES INC.,"250 VESEY STREET, 15TH FLOOR",10281,Non-accelerated filer,,462616226,operating,['OTC'],1231,,1,0,NEW YORK,NY,NY,C/O BROOKFIELD OFFICE PROPERTIES INC.,"250 VESEY STREET, 15TH FLOOR",10281,,(212) 417-7064,6798,Real Estate Investment Trusts,MD,MD,['DTLAP']
Allied Corp.,0001575295,2013-05-28,KELOWNA,A1,"British Columbia, Canada",SUITE 200-460 DOYLE AVE,,V1Y OC2,<br>Emerging growth company,,331227173,operating,['OTC'],0831,,1,0,KELOWNA,A1,"British Columbia, Canada",SUITE 200-460 DOYLE AVE,,V1Y OC2,07 Trade & Services,877-255-4337,5961,Retail-Catalog & Mail-Order Houses,NV,NV,['ALID']
Energous Corp,0001575793,2013-05-22,SAN JOSE,CA,CA,3590 NORTH FIRST STREET,SUITE 210,95134,Non-accelerated filer<br>Smaller reporting company,,461318953,operating,['Nasdaq'],1231,,1,0,SAN JOSE,CA,CA,3590 NORTH FIRST STREET,SUITE 210,95134,04 Manufacturing,(408) 963-0200,3663,Radio & Tv Broadcasting & Communications Equipment,DE,DE,['WATT']
Criteo S.A.,0001576427,2013-05-31,PARIS,I0,France,32 RUE BLANCHE,,75009,Large accelerated filer,,000000000,operating,['Nasdaq'],1231,,1,0,PARIS,I0,France,32 RUE BLANCHE,,75009,07 Trade & Services,33175850939,7311,Services-Advertising Agencies,I0,France,['CRTO']
"Strategic Environmental & Energy Resources, Inc.",0001576197,2013-05-21,BROOMFIELD,CO,CO,370 INTERLOCKEN BOULEVARD,SUITE 680,80021,Non-accelerated filer<br>Smaller reporting company,,020565834,operating,['OTC'],1231,,1,0,BROOMFIELD,CO,CO,370 INTERLOCKEN BOULEVARD,SUITE 680,80021,01 Energy & Transportation,(303)295-6498,4955,Hazardous Waste Management,NV,NV,['SENR']
"Guardant Health, Inc.",0001576280,2014-02-14,PALO ALTO,CA,CA,3100 HANOVER STREET,,94304,Large accelerated filer,,454139254,operating,['Nasdaq'],1231,,1,0,PALO ALTO,CA,CA,3100 HANOVER STREET,,94304,08 Industrial Applications and Services,855-698-8887,8071,Services-Medical Laboratories,DE,DE,['GH']
