"form","count","description","example_filing_url","example_primary_doc_url"
"SC 14N/A","15","Amendment to Solicitation/Recommendation Statement.  Filed in connection with proxy contests, which are situations where shareholders are being asked to vote on competing proposals.","https://www.sec.gov/Archives/edgar/data/1099369/000166357720000406/0001663577-20-000406-index.html","https://www.sec.gov/Archives/edgar/data/1099369/000166357720000406/sch_14na.htm"
"SPDSCL","14","Special Disclosure. This generally refers to additional information or disclosures that are required by the SEC or are deemed necessary by the filing company for transparency.","https://www.sec.gov/Archives/edgar/data/1417664/000121465924008454/0001214659-24-008454-index.html","https://www.sec.gov/Archives/edgar/data/1417664/000121465924008454/filename1.htm"
"40-33/A","14","Amendment to Certification of Reporting Issuer. Filed by investment companies to update or correct information from a previously filed certification.","https://www.sec.gov/Archives/edgar/data/1287032/000110465917033459/0001104659-17-033459-index.html","https://www.sec.gov/Archives/edgar/data/1287032/000110465917033459/a17-13432_14033a.pdf"
"SC 13E1/A","14","Amendment to a Purchase of Securities by Issuer Statement.  Used to correct information previously filed.","https://www.sec.gov/Archives/edgar/data/19149/000001914916000040/0000019149-16-000040-index.html","https://www.sec.gov/Archives/edgar/data/19149/000001914916000040/sc13e3.htm"
"F-4MEF","14","Registration statement.  Filed by foreign private issuers that qualify as emerging growth companies (EGCs) and are involved in a business combination.","https://www.sec.gov/Archives/edgar/data/1985273/000121390024038287/0001213900-24-038287-index.html","https://www.sec.gov/Archives/edgar/data/1985273/000121390024038287/ea0200002-09.htm"
"IADB","13","Inter-American Development Bank. This refers to filings or documents related to the Inter-American Development Bank, a regional development bank.","https://www.sec.gov/Archives/edgar/data/311670/999999999703029923/9999999997-03-029923-index.html","https://www.sec.gov/Archives/edgar/data/311670/999999999703029923/9999999997-03-029923.paper"
"8-B12G/A","13","Amendment to a registration statement for a successor issuer.  Filed to update or correct information, often after a merger or acquisition.","https://www.sec.gov/Archives/edgar/data/1019375/000101937597000011/0001019375-97-000011-index.html","https://www.sec.gov/Archives/edgar/data/1019375/"
"15F-12B/A","13","Amendment to Termination of Registration of a Class of Securities under Section 12(b).   This is for making corrections or updates related to the termination of registration.","https://www.sec.gov/Archives/edgar/data/1483405/000117184319003191/0001171843-19-003191-index.html","https://www.sec.gov/Archives/edgar/data/1483405/000117184319003191/f15f12b_050819.htm"
"CERTBSE","13","Certification.  This relates to the Bombay Stock Exchange (BSE), confirming that information provided is accurate and complete.","https://www.sec.gov/Archives/edgar/data/1366340/999999999707006286/9999999997-07-006286-index.html","https://www.sec.gov/Archives/edgar/data/1366340/999999999707006286/9999999997-07-006286.paper"
"N-CR/A","13","Amendment to a registration statement filed on Form N-CR. Used to make changes or updates to information previously filed on this form, which is related to closed-end management investment companies.","https://www.sec.gov/Archives/edgar/data/831363/000083136320000054/0000831363-20-000054-index.html","https://www.sec.gov/Archives/edgar/data/831363/000083136320000054/formn-cr.htm"
"9-M","13","Large Trader Reporting Form.  Filed by traders who engage in significant trading activity in securities, often used for monitoring market activity and potential manipulation.","https://www.sec.gov/Archives/edgar/data/1554550/999999999718005380/9999999997-18-005380-index.html","https://www.sec.gov/Archives/edgar/data/1554550/999999999718005380/9999999997-18-005380.paper"
"F-8 POS","13","Post-Effective Amendment to a Registration Statement on Form F-8. This amendment pertains to Form F-8 filings, which are used for registering securities issued by foreign companies to their employees under employee benefit plans.","https://www.sec.gov/Archives/edgar/data/1718420/000119312518128879/0001193125-18-128879-index.html","https://www.sec.gov/Archives/edgar/data/1718420/000119312518128879/d545463df8pos.htm"
"15F-12G/A","12","Amendment to Termination of Registration of a Class of Securities under Section 12(g).  Used when corrections or updates are needed regarding the termination of a company's registration.","https://www.sec.gov/Archives/edgar/data/1400482/000140048217000092/0001400482-17-000092-index.html","https://www.sec.gov/Archives/edgar/data/1400482/000140048217000092/a15f12ga-.htm"
"2-E/A","11","Amendment to a registration statement filed on Form 2-E.  Used by unit investment trusts to update previously filed information.","https://www.sec.gov/Archives/edgar/data/1065598/000105652009000592/0001056520-09-000592-index.html","https://www.sec.gov/Archives/edgar/data/1065598/000105652009000592/form2eamended122009final.htm"
"F-7/A","11","Amendment to a registration statement filed on Form F-7, which is used by certain Canadian issuers offering securities in the United States.  ","https://www.sec.gov/Archives/edgar/data/1488469/000110465922045002/0001104659-22-045002-index.html","https://www.sec.gov/Archives/edgar/data/1488469/000110465922045002/tm2210199d3_f7.htm"
"40FR12G/A","10","Amendment to Registration of a Class of Securities by a Foreign Private Issuer.  Used for correcting or updating information in the initial registration.","https://www.sec.gov/Archives/edgar/data/1848731/000110465921043496/0001104659-21-043496-index.html","https://www.sec.gov/Archives/edgar/data/1848731/000110465921043496/tm218482d1_40fr12ga.htm"
"NT 10-D","10","Notice of Late Filing of Form 10-D.  Filed when a company is unable to submit its Form 10-D, which is used for certain asset-backed securities, by the required deadline.","https://www.sec.gov/Archives/edgar/data/1946375/000091412122004145/0000914121-22-004145-index.html","https://www.sec.gov/Archives/edgar/data/1946375/000091412122004145/gs20221208-12b25.htm"
"U5B/A","10","Amendment to Uniform Termination Notice for Securities Industry Registration. This is filed to make changes to information in a previously submitted Form U5B, which is used for terminating registrations in the securities industry.","https://www.sec.gov/Archives/edgar/data/1136808/000104746904014246/0001047469-04-014246-index.html","https://www.sec.gov/Archives/edgar/data/1136808/000104746904014246/a2135003zu5ba.htm"
"N-5","10","Registration Statement for Registered Investment Companies. Filed by investment companies to register their securities with the SEC, a requirement for offering securities to the public.","https://www.sec.gov/Archives/edgar/data/1221483/000119312513373454/0001193125-13-373454-index.html","https://www.sec.gov/Archives/edgar/data/1221483/000119312513373454/d505298dn5.htm"
"AFDB","9","African Development Bank.  This refers to filings related to the African Development Bank.","https://www.sec.gov/Archives/edgar/data/785677/999999999703027711/9999999997-03-027711-index.html","https://www.sec.gov/Archives/edgar/data/785677/999999999703027711/9999999997-03-027711.paper"
"C-AR-W","9","Withdrawal of a Certification by a Foreign Private Issuer.   Filed to withdraw a previously submitted certification, often related to compliance with US securities laws.","https://www.sec.gov/Archives/edgar/data/1800055/000164460023000132/0001644600-23-000132-index.html","https://www.sec.gov/Archives/edgar/data/1800055/000164460023000132/primary_doc.xml"
"U-6B-2/A","9","Amendment to an Application for Exemption. Filed by unit investment trusts to update or correct information from a previous application seeking an exemption from regulatory requirements.","https://www.sec.gov/Archives/edgar/data/1024401/000089808004000272/0000898080-04-000272-index.html","https://www.sec.gov/Archives/edgar/data/1024401/000089808004000272/formu6b2.txt"
"N-5/A","9","Amendment to a registration statement filed on Form N-5. This amendment relates to Form N-5 filings, which are used for registering certain types of investment companies.","https://www.sec.gov/Archives/edgar/data/1221483/000119312513376451/0001193125-13-376451-index.html","https://www.sec.gov/Archives/edgar/data/1221483/000119312513376451/d505298dn5a.htm"
"39-304D","9","Notice of Proposed Change in Fiscal Year End.  Filed by companies that are changing their fiscal year-end date.","https://www.sec.gov/Archives/edgar/data/923713/999999999707043987/9999999997-07-043987-index.html","https://www.sec.gov/Archives/edgar/data/923713/999999999707043987/9999999997-07-043987.paper"
"QRTLYRPT/A","9","Amendment to a Quarterly Report.  Filed to update previously filed information.","https://www.sec.gov/Archives/edgar/data/311669/000114036123032021/0001140361-23-032021-index.html","https://www.sec.gov/Archives/edgar/data/311669/000114036123032021/brhc20054704_qrtlyrpta.htm"
"SL","9","Sales Literature.  Refers to marketing materials or promotional documents used by companies to advertise or sell their products or services.","https://www.sec.gov/Archives/edgar/data/1550615/999999999713008928/9999999997-13-008928-index.html","https://www.sec.gov/Archives/edgar/data/1550615/999999999713008928/9999999997-13-008928.paper"
"N-54A/A","9","Amendment to a notification of withdrawal of registration.  Filed by investment companies. ","https://www.sec.gov/Archives/edgar/data/1633336/000119312520019656/0001193125-20-019656-index.html","https://www.sec.gov/Archives/edgar/data/1633336/000119312520019656/d874298dn54aa.htm"
"8A12BT/A","8","Amendment to a Notification of Termination of Registration.  Filed to correct or update information about the termination of registration under Section 12(b) of the Exchange Act.","https://www.sec.gov/Archives/edgar/data/798085/000079808597000006/0000798085-97-000006-index.html","https://www.sec.gov/Archives/edgar/data/798085/"
"TTW/A","8","Amendment to a Telegraphic Transfer Wire instruction.  Used to make changes to a previously sent instruction for an electronic funds transfer.","https://www.sec.gov/Archives/edgar/data/1614171/999999999714012007/9999999997-14-012007-index.html","https://www.sec.gov/Archives/edgar/data/1614171/999999999714012007/9999999997-14-012007.paper"
"NT 15D2","8","Notice of Late Filing of Schedule 13E-4 or 15D-2.  Filed by companies that are repurchasing their own shares (stock buybacks) when they are unable to file the required reports on time.","https://www.sec.gov/Archives/edgar/data/900475/000173112223000798/0001731122-23-000798-index.html","https://www.sec.gov/Archives/edgar/data/900475/000173112223000798/e4663_nt15d2.htm"
"ADV-H-C","8","Confidential Treatment Request for Investment Adviser Filings - Hardship Exemption. Filed by investment advisers seeking to keep certain information confidential, often related to hardship exemptions.","https://www.sec.gov/Archives/edgar/data/1710341/999999999719006239/9999999997-19-006239-index.html","https://www.sec.gov/Archives/edgar/data/1710341/999999999719006239/9999999997-19-006239.paper"
"ADVW","8","Withdrawal of Application for Registration as an Investment Adviser.   Filed by those withdrawing their registration.","https://www.sec.gov/Archives/edgar/data/1125799/999999999704037887/9999999997-04-037887-index.html","https://www.sec.gov/Archives/edgar/data/1125799/999999999704037887/9999999997-04-037887.paper"
"1-Z/A","8","Amendment to an Exit Report.  Filed by companies to update information they provided in their exit reports, which are submitted after completing a Regulation A offering.","https://www.sec.gov/Archives/edgar/data/1714919/000147793221009435/0001477932-21-009435-index.html","https://www.sec.gov/Archives/edgar/data/1714919/000147793221009435/xsl1-Z_X01/primary_doc.xml"
"N-14MEF","8","Registration statement for exchange offers. Filed for registering securities offered as part of an exchange offer, where one type of security is exchanged for another.","https://www.sec.gov/Archives/edgar/data/1803498/000119312522200674/0001193125-22-200674-index.html","https://www.sec.gov/Archives/edgar/data/1803498/000119312522200674/d790959dn14mef.htm"
"SBSEF","8","Small Business Issuer Financial Statement.  A condensed version of financial statements, tailored for smaller reporting companies.","https://www.sec.gov/Archives/edgar/data/872651/000087265124000007/0000872651-24-000007-index.html","https://www.sec.gov/Archives/edgar/data/872651/000087265124000007/xslSBSEF_X01/primary_doc.xml"
"ATS-N/OFA","8","Alternative Trading System (ATS) Notification and Order Flow Arrangement Application.   Filed by entities seeking to operate an ATS with specific order flow arrangements.","https://www.sec.gov/Archives/edgar/data/356628/000035662823000019/0000356628-23-000019-index.html","https://www.sec.gov/Archives/edgar/data/356628/000035662823000019/xslATS-N_X01/primary_doc.xml"
"ATS-N-W","8","Alternative Trading System (ATS) - Withdrawal of Notice.   This is for withdrawing a previous notice related to an ATS.","https://www.sec.gov/Archives/edgar/data/1795131/000179513124000015/0001795131-24-000015-index.html","https://www.sec.gov/Archives/edgar/data/1795131/000179513124000015/xslATS-N-W_X01/primary_doc.xml"
"N-8B-4","7","Notification of Deregistration as a Business Development Company.  Filed when a company decides to no longer operate as a Business Development Company (BDC).","https://www.sec.gov/Archives/edgar/data/1974395/000113743923001214/0001137439-23-001214-index.html","https://www.sec.gov/Archives/edgar/data/1974395/000113743923001214/fccn8b4102023.htm"
"NT 15D2/A","7","Amendment to a notice of late filing for Schedule 13E-4 or 15D-2.  Used to update or correct information in the previously submitted notice.","https://www.sec.gov/Archives/edgar/data/79282/000007928200000019/0000079282-00-000019-index.html","https://www.sec.gov/Archives/edgar/data/79282/000007928200000019/0000079282-00-000019-0001.txt"
"SBSE-BD","7","Filed by small business issuers (SBIs) to provide information about their business and operations, often as part of a registration statement or other filing with the SEC.","https://www.sec.gov/Archives/edgar/data/1688906/000168890622000005/0001688906-22-000005-index.html","https://www.sec.gov/Archives/edgar/data/1688906/000168890622000005/xslSBSE-BD_X01/primary_doc.xml"
"34-12H","7","Order Granting or Denying an Application under Section 12(h).  Issued by the SEC in response to an application to suspend a company's reporting obligations under the Exchange Act.","https://www.sec.gov/Archives/edgar/data/4342/999999999717007427/9999999997-17-007427-index.html","https://www.sec.gov/Archives/edgar/data/4342/999999999717007427/9999999997-17-007427.paper"
"N-2 POSASR","7","Post-Effective Amendment to an Automatic Shelf Registration Statement for a Closed-End Management Investment Company.   Filed after a registration statement becomes effective","https://www.sec.gov/Archives/edgar/data/1222719/000110465922029860/0001104659-22-029860-index.html","https://www.sec.gov/Archives/edgar/data/1222719/000110465922029860/tm227264d3_posex.htm"
"24F-1","6","This form is filed by an open-end management investment company or a unit investment trust that has sold securities pursuant to rule 24f-1 under the Investment Company Act of 1940 and wants to pay registration fees.","https://www.sec.gov/Archives/edgar/data/917323/000104746997000406/0001047469-97-000406-index.html","https://www.sec.gov/Archives/edgar/data/917323/"
"1-Z-W","6","Withdrawal of an Exit Report. Filed by a company to withdraw a previously submitted exit report, often related to completing a Regulation A offering.","https://www.sec.gov/Archives/edgar/data/1560823/000156082324000001/0001560823-24-000001-index.html","https://www.sec.gov/Archives/edgar/data/1560823/000156082324000001/1zw.htm"
"IFC","6","International Finance Corporation.   Refers to filings related to the International Finance Corporation, a member of the World Bank Group.","https://www.sec.gov/Archives/edgar/data/51244/999999999703027703/9999999997-03-027703-index.html","https://www.sec.gov/Archives/edgar/data/51244/999999999703027703/9999999997-03-027703.paper"
"8F-2 NTC","6","Notice of Application. This notice typically signals the beginning of a formal application process with a regulatory agency.","https://www.sec.gov/Archives/edgar/data/1356115/999999999722003110/9999999997-22-003110-index.html","https://www.sec.gov/Archives/edgar/data/1356115/999999999722003110/filename1.pdf"
"N-3 EL/A","6","Amendment to a notice of eligibility, typically for investment companies. Filed to update or correct information regarding their eligibility to sell securities.","https://www.sec.gov/Archives/edgar/data/1046201/000092838597001607/0000928385-97-001607-index.html","https://www.sec.gov/Archives/edgar/data/1046201/"
"SBSE","6","Small Business Issuer.   This designation is used for companies that qualify as smaller reporting companies under SEC rules, allowing them to use simplified reporting procedures.","https://www.sec.gov/Archives/edgar/data/1910878/000191087824000003/0001910878-24-000003-index.html","https://www.sec.gov/Archives/edgar/data/1910878/000191087824000003/xslSBSE_X01/primary_doc.xml"
"S-20","6","Simplified Registration Form.   Used by smaller companies to register securities offerings, providing a less complex process than traditional registration forms.","https://www.sec.gov/Archives/edgar/data/319643/000109991012000240/0001099910-12-000240-index.html","https://www.sec.gov/Archives/edgar/data/319643/000109991012000240/cdcc_s20.htm"
"F-7 POS","6","Post-Effective Amendment to a Registration Statement on Form F-7. Filed to update or correct information in a previously submitted Form F-7, which is used by certain Canadian issuers offering securities to their existing shareholders.","https://www.sec.gov/Archives/edgar/data/1113678/000119312523220289/0001193125-23-220289-index.html","https://www.sec.gov/Archives/edgar/data/1113678/000119312523220289/d543843df7pos.htm"
"35-APP","6","Application.  Filed by a company for various requests or approvals, often related to exemptions or specific transactions.","https://www.sec.gov/Archives/edgar/data/23426/000002342601500020/0000023426-01-500020-index.html","https://www.sec.gov/Archives/edgar/data/23426/000002342601500020/rule24102301.txt"
"18-12B","5","Termination of Registration of a Class of Securities of a Clearing Agency or National Securities Exchange.  Filed by clearing agencies or exchanges when terminating the registration of a class of securities.","https://www.sec.gov/Archives/edgar/data/1589829/000158982914000010/0001589829-14-000010-index.html","https://www.sec.gov/Archives/edgar/data/1589829/000158982914000010/form18.txt"
"NTN 10D","5","Notice of Late Filing for Form 10-D. This indicates that a company is unable to file its Form 10-D (a general form for various reporting purposes, often for asset-backed securities) on time.","https://www.sec.gov/Archives/edgar/data/1643293/000091412115000396/0000914121-15-000396-index.html","https://www.sec.gov/Archives/edgar/data/1643293/000091412115000396/de20150729-nt10d.htm"
"ATS-N","5","Alternative Trading System (ATS) Notification. Filed by entities seeking to operate an ATS, which is an electronic trading platform that operates outside of traditional stock exchanges.","https://www.sec.gov/Archives/edgar/data/1609177/000160917722000005/0001609177-22-000005-index.html","https://www.sec.gov/Archives/edgar/data/1609177/000160917722000005/xslATS-N_X01/primary_doc.xml"
"S-20/A","5","Amendment to a Simplified Registration Form. Filed by smaller companies to correct or update information from a previously filed Form S-20, related to securities offerings.","https://www.sec.gov/Archives/edgar/data/319643/000109991013000031/0001099910-13-000031-index.html","https://www.sec.gov/Archives/edgar/data/319643/000109991013000031/cdcc_s20a2.htm"
"ANNLRPT/A","5","Amendment to Annual Report.  Filed to correct or update previously submitted information.","https://www.sec.gov/Archives/edgar/data/311669/000114036124026119/0001140361-24-026119-index.html","https://www.sec.gov/Archives/edgar/data/311669/000114036124026119/ef20027837_annlrpta.htm"
"SEC ACTION","5","Refers to an action taken by the SEC, such as an enforcement action, a rulemaking initiative, or a comment letter to a company.","https://www.sec.gov/Archives/edgar/data/1753676/999999999720000417/9999999997-20-000417-index.html","https://www.sec.gov/Archives/edgar/data/1753676/999999999720000417/filename1.pdf"
"253G4","5","Filed by institutional investors who own more than 5% of a company's stock and choose to file a Schedule 13G, which is a simplified beneficial ownership report.","https://www.sec.gov/Archives/edgar/data/1815794/000181579424000002/0001815794-24-000002-index.html","https://www.sec.gov/Archives/edgar/data/1815794/000181579424000002/fire1_253g4_2024.htm"
"8F-2 ORDR","5","Order issued in response to an application, often related to regulatory matters.  ","https://www.sec.gov/Archives/edgar/data/1356115/999999999722003548/9999999997-22-003548-index.html","https://www.sec.gov/Archives/edgar/data/1356115/999999999722003548/filename1.pdf"
"F-9 POS","5","Post-Effective Amendment to a Registration Statement on Form F-9.  Filed to update information.","https://www.sec.gov/Archives/edgar/data/1127248/000119312512123567/0001193125-12-123567-index.html","https://www.sec.gov/Archives/edgar/data/1127248/000119312512123567/d318445df9pos.htm"
"N-3 EL","5","Notice of Eligibility.  This form is filed by an investment company.","https://www.sec.gov/Archives/edgar/data/1046201/000092838597001557/0000928385-97-001557-index.html","https://www.sec.gov/Archives/edgar/data/1046201/"
"SF-1MEF","4","Registration Statement.  Filed by a foreign private issuer that qualifies as a “smaller reporting company” (SRC) under US securities laws.","https://www.sec.gov/Archives/edgar/data/75488/000119312522192618/0001193125-22-192618-index.html","https://www.sec.gov/Archives/edgar/data/75488/000119312522192618/d351037dsf1mef.htm"
"N-54C/A","4","Amendment to a notification of withdrawal of election. This amendment is filed by investment companies to update or correct information in their previously submitted withdrawal notice.","https://www.sec.gov/Archives/edgar/data/1445175/000126246314000117/0001262463-14-000117-index.html","https://www.sec.gov/Archives/edgar/data/1445175/000126246314000117/hnet54ca.htm"
"SDR/A","4","Amendment to a Specialized Disclosure Report.  Used for correcting or updating a previously filed SDR.","https://www.sec.gov/Archives/edgar/data/1655167/000165516718000003/0001655167-18-000003-index.html","https://www.sec.gov/Archives/edgar/data/1655167/000165516718000003/xslSDR_X01/primary_doc.xml"
"SBSE-BD/A","4","Amendment to a filing by a small business issuer (SBI). This amendment is likely related to updates or corrections to information about the SBI's business and operations.","https://www.sec.gov/Archives/edgar/data/1891397/000089542124000392/0000895421-24-000392-index.html","https://www.sec.gov/Archives/edgar/data/1891397/000089542124000392/xslSBSE-BD_X01/primary_doc.xml"
"10-QSB","4","Quarterly Report for Smaller Reporting Companies. This form is a simplified version of the Form 10-Q, used by smaller companies to report their quarterly financial and operational performance.","https://www.sec.gov/Archives/edgar/data/1015715/000101571502000002/0001015715-02-000002-index.html","https://www.sec.gov/Archives/edgar/data/1015715/000101571502000002/tenq.txt"
"15F-15D/A","4","Amendment to a periodic report.  Filed by foreign private issuers, this amendment relates to changes in securities ownership and trading by the issuer, often associated with share buybacks or other corporate actions.","https://www.sec.gov/Archives/edgar/data/1177167/000143774921026148/0001437749-21-026148-index.html","https://www.sec.gov/Archives/edgar/data/1177167/000143774921026148/lmdcf20211110b_15f15da.htm"
"PREA14A","4","Preliminary Proxy Statement. This is an early draft of the proxy statement filed with the SEC for review before being sent to shareholders.","https://www.sec.gov/Archives/edgar/data/768532/000076853200000004/0000768532-00-000004-index.html","https://www.sec.gov/Archives/edgar/data/768532/000076853200000004/"
"U5A/A","4","Amendment to Amendment to Uniform Application for Securities Industry Registration or Transfer.  Used for updating information.","https://www.sec.gov/Archives/edgar/data/1130464/000113046405000233/0001130464-05-000233-index.html","https://www.sec.gov/Archives/edgar/data/1130464/000113046405000233/amended_u5-a.htm"
"U-12-IB/A","4","Amendment to Registration Statement for Certain Governments and Political Subdivisions.  Used to update or correct information.","https://www.sec.gov/Archives/edgar/data/898080/000089808005000316/0000898080-05-000316-index.html","https://www.sec.gov/Archives/edgar/data/898080/000089808005000316/llgm.htm"
"F-9EF","4","Post-Effective Amendment to a Registration Statement on Form F-9 Filed Solely to Add Exhibits.  Filed to add exhibits to a registration statement filed by certain Canadian issuers.","https://www.sec.gov/Archives/edgar/data/16873/000113031903000942/0001130319-03-000942-index.html","https://www.sec.gov/Archives/edgar/data/16873/000113031903000942/o11519afv9ef.htm"
"40-8F-B","4","Application for Order under the Investment Company Act.  Used for a variety of requests related to investment company regulations.","https://www.sec.gov/Archives/edgar/data/812301/000095013302002770/0000950133-02-002770-index.html","https://www.sec.gov/Archives/edgar/data/812301/000095013302002770/w62616e40v8fvb.txt"
"N-23C3B/A","3","Amendment to a Filing and Amendment to Withdrawal of Proposed Rule Change by a Self-Regulatory Organization.   Filed for correcting information.","https://www.sec.gov/Archives/edgar/data/1217951/000121795113000014/0001217951-13-000014-index.html","https://www.sec.gov/Archives/edgar/data/1217951/000121795113000014/formn23c0313.htm"
"S-8/A","3","Amendment to a registration statement filed on Form S-8.  Used to update or correct information about securities offerings made under employee benefit plans.","https://www.sec.gov/Archives/edgar/data/721669/000095016894000244/0000950168-94-000244-index.html","https://www.sec.gov/Archives/edgar/data/721669/"
"40-8FC","3","Notice of Proposed Change in Fiscal Year End of a Registered Closed-End Management Investment Company.  Filed by closed-end funds.","https://www.sec.gov/Archives/edgar/data/723240/999999999704032146/9999999997-04-032146-index.html","https://www.sec.gov/Archives/edgar/data/723240/999999999704032146/9999999997-04-032146.paper"
"40-205E","3","Application for an Order under the Investment Company Act of 1940.  Filed for investment companies seeking approval for certain actions.","https://www.sec.gov/Archives/edgar/data/1318686/999999999705006412/9999999997-05-006412-index.html","https://www.sec.gov/Archives/edgar/data/1318686/999999999705006412/9999999997-05-006412.paper"
"CERTPBS","3","Certification.  Asserts that the information is accurate, specifically related to the Philadelphia Stock Exchange (PHLX).","https://www.sec.gov/Archives/edgar/data/1172222/999999999702049443/9999999997-02-049443-index.html","https://www.sec.gov/Archives/edgar/data/1172222/999999999702049443/9999999997-02-049443.paper"
"U-13E-1","3","Notification of Termination of Reporting Obligations for a Closed-End Management Investment Company That No Longer Has a Class of Securities Registered Under the Securities Exchange Act of 1934.  Filed by closed-end funds.","https://www.sec.gov/Archives/edgar/data/1133387/000113338705000007/0001133387-05-000007-index.html","https://www.sec.gov/Archives/edgar/data/1133387/000113338705000007/atc0405u13e1.txt"
"SP 15D2/A","2","Amendment to a certification filed by issuers repurchasing their own shares. This relates to updating or correcting information in a previously filed SP 15D2.","https://www.sec.gov/Archives/edgar/data/1522690/000121390012002315/0001213900-12-002315-index.html","https://www.sec.gov/Archives/edgar/data/1522690/000121390012002315/sp15d20412a1_gwg.htm"
"40-203A/A","2","Amendment to an application for an order under the Investment Company Act. Filed to make changes to an application seeking approval for specific actions by an investment company.","https://www.sec.gov/Archives/edgar/data/1256873/999999999703044919/9999999997-03-044919-index.html","https://www.sec.gov/Archives/edgar/data/1256873/999999999703044919/9999999997-03-044919.paper"
"1-E AD","2","Additional Exhibit to a notification of termination of reporting obligations. Filed by foreign private issuers to supplement a previously filed Form 1-E.","https://www.sec.gov/Archives/edgar/data/1649971/000089710116002286/0000897101-16-002286-index.html","https://www.sec.gov/Archives/edgar/data/1649971/000089710116002286/hcc160362_1e-ad.htm"
"SDR","2","Specialized Disclosure Report. Filed to provide information required by specific SEC rules or regulations, often related to complex financial instruments or transactions.","https://www.sec.gov/Archives/edgar/data/1655167/000165516716000005/0001655167-16-000005-index.html","https://www.sec.gov/Archives/edgar/data/1655167/000165516716000005/xslSDR_X01/primary_doc.xml"
"8-K15D5/A","2","Amendment to a Report of Termination of Registration under Section 12(g).  Used to correct information related to terminating a company's registration.","https://www.sec.gov/Archives/edgar/data/1070524/000094337401500051/0000943374-01-500051-index.html","https://www.sec.gov/Archives/edgar/data/1070524/000094337401500051/form_8k-051501.txt"
"11-KT/A","2","Amendment to a transition report.  Filed by companies that offer employee stock purchase, savings, or similar plans.","https://www.sec.gov/Archives/edgar/data/1210227/000121022715000054/0001210227-15-000054-index.html","https://www.sec.gov/Archives/edgar/data/1210227/000121022715000054/a12312014form11-k.htm"
"F-4EF","2","Post-Effective Amendment to a Registration Statement on Form F-4 Filed Solely to Add Exhibits. Filed to add exhibits to a registration statement for a business combination transaction involving foreign companies.","https://www.sec.gov/Archives/edgar/data/1753648/000149315220013062/0001493152-20-013062-index.html","https://www.sec.gov/Archives/edgar/data/1753648/000149315220013062/formf-4ef.htm"
"DEF-OC","2","Filed by companies that are soliciting proxies from their shareholders, typically for matters to be voted on at an annual meeting or a special meeting.","https://www.sec.gov/Archives/edgar/data/1047586/999999999707001345/9999999997-07-001345-index.html","https://www.sec.gov/Archives/edgar/data/1047586/999999999707001345/9999999997-07-001345.paper"
"40-203A","","Application for an Order under the Investment Company Act of 1940.   Filed by investment companies seeking approval from the SEC.","https://www.sec.gov/Archives/edgar/data/1446050/999999999709025763/9999999997-09-025763-index.html","https://www.sec.gov/Archives/edgar/data/1446050/999999999709025763/9999999997-09-025763.paper"
"39-310B","2","This relates to the transfer of assets between registered investment companies, potentially during a merger or restructuring.","https://www.sec.gov/Archives/edgar/data/7431/999999999702041008/9999999997-02-041008-index.html","https://www.sec.gov/Archives/edgar/data/7431/999999999702041008/9999999997-02-041008.paper"
"10-KSB/A","2","Amendment to an annual report for smaller reporting companies.   Used to correct errors or update information previously filed.","https://www.sec.gov/Archives/edgar/data/700890/000100544402000098/0001005444-02-000098-index.html","https://www.sec.gov/Archives/edgar/data/700890/000100544402000098/main.txt"
"19B-4","2","Filing of Plan for Allocation of Regulatory Responsibilities.  Relates to self-regulatory organizations and how they allocate their regulatory duties.","https://www.sec.gov/Archives/edgar/data/876798/999999999707036066/9999999997-07-036066-index.html","https://www.sec.gov/Archives/edgar/data/876798/999999999707036066/9999999997-07-036066.paper"
"NT-NCEN/A","2","Amendment to a notice of late filing for Form N-CEN.  This involves updating information related to a delayed filing by an investment company that intends to cease its registration.","https://www.sec.gov/Archives/edgar/data/1539996/000116204420000950/0001162044-20-000950-index.html","https://www.sec.gov/Archives/edgar/data/1539996/000116204420000950/americantcena202009.htm"
"CERTCSE","2","Certification.  This typically confirms the accuracy of information submitted to the Calcutta Stock Exchange (CSE).","https://www.sec.gov/Archives/edgar/data/757011/999999999706005731/9999999997-06-005731-index.html","https://www.sec.gov/Archives/edgar/data/757011/999999999706005731/9999999997-06-005731.paper"
"SBSEF/A","2","Amendment to a Small Business Issuer Financial Statement.  Used for correcting errors in the financial statements.","https://www.sec.gov/Archives/edgar/data/2032335/000203233524000003/0002032335-24-000003-index.html","https://www.sec.gov/Archives/edgar/data/2032335/000203233524000003/xslSBSEF_X01/primary_doc.xml"
"S-3D/A","2","Amendment to Registration Statement for Securities Offered through Dividend Reinvestment Plans.  Filed to update or correct information.","https://www.sec.gov/Archives/edgar/data/790523/000091191694000096/0000911916-94-000096-index.html","https://www.sec.gov/Archives/edgar/data/790523/"
"24F-2EL/A","2","Amendment to a Notice of Election to Compute Rule 24f-2 Fee on an Electronic Filing Basis.  This relates to how certain investment companies calculate registration fees.","https://www.sec.gov/Archives/edgar/data/736978/000073697896000001/0000736978-96-000001-index.html","https://www.sec.gov/Archives/edgar/data/736978/"
"40-RPT","2","Report.  This is a general term and could refer to various types of reports filed with the SEC.","https://www.sec.gov/Archives/edgar/data/37081/999999999705015581/9999999997-05-015581-index.html","https://www.sec.gov/Archives/edgar/data/37081/999999999705015581/9999999997-05-015581.paper"
